crop,farm_size_ha,province,district,ward,planting_date,planting_month,yield_tonnes_per_ha,rainfall_planting_month,rainfall_1_month_before,rainfall_2_months_before,rainfall_3_months_before,rainfall_preplant_3m_total,rainfall_preplant_3m_mean,preplant_rain_months_available,soil_ph,soil_organic_carbon_g_kg,soil_nitrogen_g_kg,soil_clay_percent,soil_sand_percent,soil_silt_percent,ndvi_preplant_mean,ndvi_preplant_max,ndvi_preplant_min,ndvi_preplant_std,ndvi_preplant_median,ndvi_preplant_first,ndvi_preplant_last,ndvi_preplant_observations,ndvi_preplant_change
 Sorghum(for grain),0.5,Central,Luano,MUNDA,2024-12-01,12,1.38,106.20655822753906,52.37794494628906,18.696521759033203,,,,2,6.1,17.2,1.1,19.0,65.5,15.5,0.4591,0.6148,0.329,0.1204593984156764,0.4463,0.329,0.6148,4,0.2858
 Sunflower (for grain),0.25,Central,Luano,MUNDA,2024-12-01,12,1.22232,106.20655822753906,52.37794494628906,18.696521759033203,,,,2,6.1,17.2,1.1,19.0,65.5,15.5,0.4591,0.6148,0.329,0.1204593984156764,0.4463,0.329,0.6148,4,0.2858
 Maize(for grain),0.125,Copperbelt,Ndola,PAMODZI,2024-11-01,11,0.92,111.87837982177734,43.17949676513672,,,,,1,5.9,19.1,1.37,18.2,59.3,22.5,0.2424666666666667,0.2543,0.2276,0.0136060035768528,0.2455,0.2276,0.2455,3,0.0179
 Maize(for grain),0.405,Eastern,Chipata,NSINGO,2024-12-01,12,2.1296296296296298,116.5771484375,113.44657135009766,21.391830444335938,,,,2,5.8,16.7,1.01,17.5,67.5,15.0,0.3990749999999999,0.5691,0.3027,0.1207115121546684,0.3622499999999999,0.3027,0.5691,4,0.2664
 Soya beans (for grain),0.405,Eastern,Chipata,NSINGO,2024-12-01,12,0.6064197530864197,116.5771484375,113.44657135009766,21.391830444335938,,,,2,5.8,16.7,1.01,17.5,67.5,15.0,0.3990749999999999,0.5691,0.3027,0.1207115121546684,0.3622499999999999,0.3027,0.5691,4,0.2664
 Sunflower (for grain),0.405,Eastern,Chipata,NSINGO,2024-12-01,12,0.2743703703703704,116.5771484375,113.44657135009766,21.391830444335938,,,,2,5.8,16.7,1.01,17.5,67.5,15.0,0.3990749999999999,0.5691,0.3027,0.1207115121546684,0.3622499999999999,0.3027,0.5691,4,0.2664
 Maize(for grain),0.25,Southern,Mazabuka,MAZABUKA CENTRAL,2024-11-01,11,1.15,63.63263702392578,23.30086326599121,,,,,1,6.3,16.9,1.02,24.3,51.5,24.2,0.2533,0.274,0.2359,0.0192631773080143,0.25,0.2359,0.25,3,0.0141
 Maize(for grain),0.25,Muchinga,Mafinga,MULULU,2024-12-01,12,0.68,142.57269287109375,61.29127883911133,35.278499603271484,,,,2,5.7,23.8,1.39,27.0,62.4,10.6,0.5395749999999999,0.6777,0.4329,0.1018149096809172,0.5238499999999999,0.5153,0.4329,4,-0.0823999999999999
 Maize(for grain),0.405,Eastern,Katete,MKAIKA,2024-11-01,11,0.0,139.72201538085938,12.146381378173828,,,,,1,6.3,19.3,1.49,21.3,55.1,23.5,0.2173,0.2346,0.1992,0.0177135541323586,0.2181,0.2181,0.2346,3,0.0165
 Groundnuts(unshelled),0.405,Eastern,Katete,MKAIKA,2024-12-01,12,0.0,116.5820541381836,139.72201538085938,12.146381378173828,,,,2,6.3,19.3,1.49,21.3,55.1,23.5,0.218075,0.2346,0.1992,0.01454587570413,0.21925,0.2181,0.2204,4,0.0023
 Maize(for grain),0.5,North Western,Kasempa,SHILENDA,2024-11-01,11,2.07,87.32699584960938,21.9974365234375,,,,,1,6.1,17.4,1.11,22.1,53.9,24.0,0.5674333333333333,0.599,0.5323,0.0334927355307584,0.571,0.5323,0.571,3,0.0386999999999999
